GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
NEPAL,00524,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NETHERLANDS,00528,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NETHERLANDS ANTILLES,00530,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ARUBA,00533,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NEW CALEDONIA,00540,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
VANUATU,00548,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NEW ZEALAND,00554,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NICARAGUA,00558,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NIGER,00562,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NIGERIA,00566,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NIUE,00570,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NORFOLK ISLAND,00574,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
NORWAY,00578,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PAKISTAN,00586,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PANAMA,00591,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PAPUA NEW GUINEA,00598,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PARAGUAY,00600,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PERU,00604,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PHILIPPINES,00608,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PITCAIRN,00612,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
POLAND,00616,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
PORTUGAL,00620,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GUINEA-BISSAU,00624,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TIMOR-LESTE,00626,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
QATAR,00634,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
RÉUNION,00638,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ROMANIA,00642,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
RUSSIAN FEDERATION,00643,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
RWANDA,00646,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAINT BARTHÉLEMY,00652,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",00654,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAINT KITTS AND NEVIS,00659,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ANGUILLA,00660,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAINT LUCIA,00662,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAINT MARTIN,00663,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAINT PIERRE AND MIQUELON,00666,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAINT VINCENT AND THE GRENEDINES,00670,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAN MARINO,00674,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAO TOME AND PRINCIPE,00678,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAUDI ARABIA,00682,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SENEGAL,00686,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SERBIA,00688,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SEYCHELLES,00690,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SIERRA LEONE,00694,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SINGAPORE,00702,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SLOVAKIA,00703,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
VIET NAM,00704,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SLOVENIA,00705,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SOMALIA,00706,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SOUTH AFRICA,00710,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ZIMBABWE,00716,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SPAIN,00724,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
WESTERN SAHARA,00732,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SUDAN,00736,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SURINAME,00740,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SVALBARD AND JAN MAYEN,00744,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SWAZILAND,00748,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SWEDEN,00752,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SWITZERLAND,00756,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SYRIAN ARAB REPUBLIC,00760,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
