GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
RANDOLPH,29175,MO COUNTIES,088,RANDOLPH,
RAY,29177,MO COUNTIES,089,RAY,3760
REYNOLDS,29179,MO COUNTIES,090,REYNOLDS,
RIPLEY,29181,MO COUNTIES,091,RIPLEY,
SALINE,29195,MO COUNTIES,097,SALINE,
SCHUYLER,29197,MO COUNTIES,098,SCHUYLER,
SCOTLAND,29199,MO COUNTIES,099,SCOTLAND,
SCOTT,29201,MO COUNTIES,100,SCOTT,
SHANNON,29203,MO COUNTIES,101,SHANNON,
SHELBY,29205,MO COUNTIES,102,SHELBY,
ST. CHARLES,29183,MO COUNTIES,092,ST. CHARLES,7040
ST. CLAIR,29185,MO COUNTIES,093,ST. CLAIR,
ST. FRANCOIS,29187,MO COUNTIES,094,ST. FRANCOIS,
ST. LOUIS,29189,MO COUNTIES,095,ST. LOUIS,7040
ST. LOUIS CITY,29510,MO COUNTIES,115,ST. LOUIS CITY,7040
STE. GENEVIEVE,29186,MO COUNTIES,096,STE. GENEVIEVE,
STODDARD,29207,MO COUNTIES,103,STODDARD,
STONE,29209,MO COUNTIES,104,STONE,
SULLIVAN,29211,MO COUNTIES,105,SULLIVAN,
TANEY,29213,MO COUNTIES,106,TANEY,
TEXAS (MO COUNTY),29215,MO COUNTIES,107,TEXAS (MO COUNTY),
VERNON,29217,MO COUNTIES,108,VERNON,
WARREN,29219,MO COUNTIES,109,WARREN,7040
WASHINGTON  (MO COUNTY),29221,MO COUNTIES,110,WASHINGTON  (MO COUNTY),
WAYNE,29223,MO COUNTIES,111,WAYNE,
WEBSTER,29225,MO COUNTIES,112,WEBSTER,7920
WORTH,29227,MO COUNTIES,113,WORTH,
WRIGHT,29229,MO COUNTIES,114,WRIGHT,
MONTANA,30000,US STATES,936,MONTANA,
NEBRASKA,31000,US STATES,937,NEBRASKA,
NEVADA,32000,US STATES,938,NEVADA,
NEW HAMPSHIRE,33000,US STATES,939,NEW HAMPSHIRE,
NEW JERSEY,34000,US STATES,940,NEW JERSEY,
NEW MEXICO,35000,US STATES,941,NEW MEXICO,
NEW YORK,36000,US STATES,942,NEW YORK,
NORTH CAROLINA,37000,US STATES,943,NORTH CAROLINA,
NORTH DAKOTA,38000,US STATES,944,NORTH DAKOTA,
OHIO,39000,US STATES,945,OHIO,
OKLAHOMA,40000,US STATES,946,OKLAHOMA,
OREGON (US STATE),41000,US STATES,947,OREGON,
PENNSYLVANIA,42000,US STATES,948,PENNSYLVANIA,
RHODE ISLAND,44000,US STATES,949,RHODE ISLAND,
SOUTH CAROLINA,45000,US STATES,950,SOUTH CAROLINA,
SOUTH DAKOTA,46000,US STATES,951,SOUTH DAKOTA,
TENNESSEE,47000,US STATES,952,TENNESSEE,
TEXAS (STATE),48000,US STATES,953,TEXAS,
UTAH,49000,US STATES,954,UTAH,
VERMONT,50000,US STATES,955,VERMONT,
VIRGINIA,51000,US STATES,956,VIRGINIA,
WASHINGTON (STATE),53000,US STATES,957,WASHINGTON,
WEST VIRGINIA,54000,US STATES,958,WEST VIRGINIA,
WISCONSIN,55000,US STATES,959,WISCONSIN,
WYOMING,56000,US STATES,960,WYOMING,
AMERICAN SAMOA,60000,US TERRITORIES,970,U.S. TERRITORIES,
FEDERATED STATES OF MICRONESIA,64000,US TERRITORIES,970,U.S. TERRITORIES,
GUAM,66000,US TERRITORIES,970,U.S. TERRITORIES,
MARSHALL ISLANDS,68000,US TERRITORIES,970,U.S. TERRITORIES,
NORTHERN MARIANA ISLANDS,69000,US TERRITORIES,970,U.S. TERRITORIES,
PALAU,70000,US TERRITORIES,970,U.S. TERRITORIES,
PUERTO RICO,72000,US TERRITORIES,970,U.S. TERRITORIES,
"UNITED STATES, MINOR OUTLYING ISLANDS",74000,US TERRITORIES,970,U.S. TERRITORIES,
VIRGIN ISLANDS,78000,US TERRITORIES,970,U.S. TERRITORIES,
UNKNOWN US TERRITORY,99997,US TERRITORIES,970,U.S. TERRITORIES,
UNKNOWN FOREIGN COUNTRY,99998,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
UNKNOWN,99999,UNKNOWN,990,UNKNOWN,
